codigo;tipo;descricao;cidade;estado;data;ano;hora;aeronave_liberada;status_investigacao;aeronaves_envolvidas;ocorrencia_saida_pista;aeronave_tipo;aeronave_fabricante;motor_tipo;aeronave_motor_quantidade;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_fase_operacao;aeronave_nivel_dano
67098;INCIDENTE GRAVE;PERDA DE CONTROLE NO SOLO;JUNDIAÍ;SP;02/08/2017;2017;21:10:00;SIM;ATIVA;1;SIM;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;4;1982;BRASIL;CORRIDA APÓS POUSO;NENHUM
67100;ACIDENTE;COM TREM DE POUSO;SANTANA DO ARAGUAIA;PA;01/08/2017;2017;21:00:00;NÃO;ATIVA;1;SIM;AVIÃO;CESSNA AIRCRAFT;PISTÃO;BIMOTOR;6;1979;BRASIL;DECOLAGEM;SUBSTANCIAL
67101;INCIDENTE;VAZAMENTO DE OUTROS FLUIDOS;FOZ DO IGUAÇU;PR;05/08/2017;2017;15:15:00;SIM;FINALIZADA;1;NÃO;AVIÃO;TEXTRON AVIATION INC;JATO;BIMOTOR;0;2015;ESTADOS UNIDOS;SUBIDA;NENHUM
67114;ACIDENTE;INDETERMINADO;BOCA DO ACRE;AM;06/08/2017;2017;21:00:00;NÃO;ATIVA;1;NÃO;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;7;1984;BRASIL;OUTRA FASE;INDETERMINADO
67118;INCIDENTE GRAVE;PERDA DE CONTROLE NO SOLO;TEÓFILO OTONI;MG;08/08/2017;2017;12:50:00;SIM;ATIVA;1;SIM;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;6;1975;BRASIL;POUSO;SUBSTANCIAL
67119;INCIDENTE;VAZAMENTO DE OUTROS FLUIDOS;SÃO JOSÉ DOS PINHAIS;PR;03/08/2017;2017;12:43:00;INDETERMINADO;FINALIZADA;1;NÃO;AVIÃO;BOEING COMPANY;JATO;BIMOTOR;153;2001;BRASIL;CORRIDA APÓS POUSO;NENHUM
67121;INCIDENTE;OUTROS;FORMOSA;GO;04/08/2017;2017;14:45:00;SIM;FINALIZADA;1;NÃO;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;4;2003;BRASIL;CORRIDA APÓS POUSO;LEVE
67127;INCIDENTE;COM PESSOAL EM VOO;BRASÍLIA;DF;08/08/2017;2017;02:16:00;SIM;FINALIZADA;1;NÃO;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;170;0;BRASIL;DESCIDA;NENHUM
67129;INCIDENTE;POUSO EM LOCAL NÃO PREVISTO;NOVO PROGRESSO;PA;30/07/2017;2017;14:15:00;SIM;FINALIZADA;1;NÃO;AVIÃO;BEECH AIRCRAFT;PISTÃO;MONOMOTOR;4;1953;BRASIL;DESCIDA;NENHUM
67136;INCIDENTE GRAVE;COM TREM DE POUSO;OURILÂNDIA DO NORTE;PA;08/08/2017;2017;16:00:00;SIM;ATIVA;1;NÃO;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;7;1982;BRASIL;CORRIDA APÓS POUSO;SUBSTANCIAL
67137;ACIDENTE;FALHA DO MOTOR EM VOO;LUZIÂNIA;GO;12/08/2017;2017;20:30:00;NÃO;ATIVA;1;NÃO;ULTRALEVE;AVENOR AUGUSTO MONTANDON;PISTÃO;MONOMOTOR;2;2010;BRASIL;DECOLAGEM;SUBSTANCIAL
67139;INCIDENTE;PERDA DE CONTROLE NO SOLO;GOIÂNIA;GO;24/07/2017;2017;10:00:00;SIM;FINALIZADA;1;NÃO;AVIÃO;AERO BOERO;PISTÃO;MONOMOTOR;2;1993;BRASIL;DECOLAGEM;LEVE
67140;INCIDENTE;ESTOURO DE PNEU;RIO BRANCO;AC;11/08/2017;2017;02:15:00;SIM;FINALIZADA;1;NÃO;AVIÃO;BEECH AIRCRAFT;PISTÃO;BIMOTOR;6;1992;BRASIL;CORRIDA APÓS POUSO;LEVE
67142;INCIDENTE GRAVE;VOO CONTROLADO CONTRA O TERRENO;RIO DE JANEIRO;RJ;19/07/2017;2017;11:55:00;SIM;ATIVA;1;NÃO;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;141;2010;BRASIL;PROCEDIMENTO DE APROXIMAÇÃO IFR;NENHUM
67152;INCIDENTE GRAVE;COM HÉLICE;CAMPOS DOS GOYTACAZES;RJ;17/08/2017;2017;12:50:00;NÃO;ATIVA;1;NÃO;AVIÃO;TWIN COMMANDER;PISTÃO;BIMOTOR;7;1961;BRASIL;CRUZEIRO;LEVE
67155;INCIDENTE;COLISÃO COM AVE;CUIABÁ;MT;10/08/2017;2017;23:19:00;INDETERMINADO;FINALIZADA;1;NÃO;AVIÃO;EMBRAER;JATO;BIMOTOR;113;2009;BRASIL;DECOLAGEM;NENHUM
67158;INCIDENTE;COLISÃO COM AVE;GOIÂNIA;GO;17/08/2017;2017;19:35:00;INDETERMINADO;FINALIZADA;1;NÃO;AVIÃO;EMBRAER;JATO;BIMOTOR;125;2011;BRASIL;APROXIMAÇÃO FINAL;NENHUM
67159;INCIDENTE;COLISÃO COM AVE;VITÓRIA DA CONQUISTA;BA;16/08/2017;2017;18:25:00;SIM;FINALIZADA;1;NÃO;AVIÃO;EMBRAER;TURBOÉLICE;BIMOTOR;17;1976;BRASIL;SUBIDA;LEVE
